campaign_id,campaign_name,start_date,end_date,budget_usd,platform,target_audience,cta,impressions,clicks,signups,enrollments,created_at,updated_at
15,Right-sized composite middleware,2023-11-26 03:19:24,2023-12-14 01:25:56,9065,ads,students,conversion,378480,17898,0,665,2023-11-26 03:19:24,2023-12-14 01:25:56
16,Decentralized grid-enabled Graphic Interface,2024-02-06 03:15:23,2023-05-25 02:08:26,2317,email,professionals,awareness,226326,12327,0,0,2024-02-06 03:15:23,2023-05-25 02:08:26
17,Object-based bandwidth-monitored capability,2023-12-18 13:40:53,2023-11-23 16:47:55,6175,ads,educators,conversion,677255,57786,0,0,2023-12-18 13:40:53,2023-11-23 16:47:55
18,Synergized full-range knowledge user,2023-05-16 13:59:59,2023-11-01 04:59:51,5276,social,students,conversion,142216,8747,0,6142,2023-05-16 13:59:59,2023-11-01 04:59:51
19,Configurable non-volatile collaboration,2022-07-22 14:58:47,2024-02-06 14:24:24,5226,ads,professionals,conversion,543692,15191,3,20517,2022-07-22 14:58:47,2024-02-06 14:24:24
20,Robust global budgetary management,2022-08-20 23:04:45,2023-06-15 19:20:15,4843,ads,students,conversion,831428,78099,0,10802,2022-08-20 23:04:45,2023-06-15 19:20:15
21,Customer-focused scalable website,2022-08-23 15:58:56,2023-07-06 12:50:24,1952,social,students,conversion,927635,12425,0,11425,2022-08-23 15:58:56,2023-07-06 12:50:24
22,User-friendly content-based core,2022-09-10 08:33:46,2023-11-24 00:44:22,8905,email,educators,conversion,589617,57055,0,15938,2022-09-10 08:33:46,2023-11-24 00:44:22
23,Fundamental bandwidth-monitored service-desk,2022-12-26 15:25:08,2023-10-23 10:23:38,1573,email,educators,awareness,443812,18680,0,10855,2022-12-26 15:25:08,2023-10-23 10:23:38
24,Multi-lateral mission-critical system engine,2023-04-05 04:08:35,2023-09-29 08:31:16,7529,email,educators,conversion,502835,23558,0,6456,2023-04-05 04:08:35,2023-09-29 08:31:16
25,Focused dynamic capacity,2023-06-06 06:04:59,2023-08-08 12:41:32,9260,social,professionals,conversion,388019,5789,0,2286,2023-06-06 06:04:59,2023-08-08 12:41:32
26,Profound radical instruction set,2023-01-02 03:59:47,2023-10-01 16:49:19,5529,ads,professionals,conversion,640700,41482,0,9835,2023-01-02 03:59:47,2023-10-01 16:49:19
27,Persistent scalable workforce,2022-09-11 13:07:11,2023-10-06 08:55:28,7115,email,professionals,awareness,976436,55431,0,14093,2022-09-11 13:07:11,2023-10-06 08:55:28
28,Right-sized clear-thinking complexity,2023-10-22 01:33:18,2024-01-30 11:42:06,7334,ads,educators,awareness,886812,31466,0,3707,2023-10-22 01:33:18,2024-01-30 11:42:06
29,Fully-configurable 4thgeneration info-mediaries,2023-11-29 11:59:40,2023-10-28 16:20:41,9988,email,students,conversion,552019,37002,0,0,2023-11-29 11:59:40,2023-10-28 16:20:41
30,Re-engineered national infrastructure,2024-01-24 23:16:13,2023-11-03 21:15:10,5333,ads,students,awareness,793100,43216,0,0,2024-01-24 23:16:13,2023-11-03 21:15:10
31,Switchable impactful installation,2023-03-20 20:22:49,2023-09-17 11:30:27,1465,ads,educators,awareness,501678,22996,0,6534,2023-03-20 20:22:49,2023-09-17 11:30:27
32,Seamless intangible frame,2022-12-25 22:19:59,2023-09-09 10:11:04,4298,email,educators,awareness,364969,10950,0,9270,2022-12-25 22:19:59,2023-09-09 10:11:04
33,Sharable 24/7 model,2023-10-25 13:43:54,2023-10-24 10:16:44,3930,social,professionals,awareness,448872,19449,0,0,2023-10-25 13:43:54,2023-10-24 10:16:44
34,Function-based mission-critical product,2022-07-21 13:47:34,2023-10-12 07:47:06,4386,social,students,conversion,660035,53892,3,16268,2022-07-21 13:47:34,2023-10-12 07:47:06
35,Ameliorated foreground strategy,2023-12-30 08:14:20,2023-10-02 06:22:50,7104,email,educators,conversion,314238,19440,0,0,2023-12-30 08:14:20,2023-10-02 06:22:50
36,Enterprise-wide local database,2023-12-05 05:21:59,2024-01-17 06:35:09,5092,email,educators,conversion,868173,14096,0,1687,2023-12-05 05:21:59,2024-01-17 06:35:09
37,Fundamental transitional help-desk,2023-02-24 23:04:09,2023-11-07 01:32:29,2552,social,educators,awareness,158255,2675,0,9294,2023-02-24 23:04:09,2023-11-07 01:32:29
38,Vision-oriented mobile emulation,2023-07-27 07:28:34,2023-10-21 02:44:05,2240,ads,professionals,awareness,93360,1955,0,3226,2023-07-27 07:28:34,2023-10-21 02:44:05
39,Object-based background conglomeration,2023-08-13 04:26:23,2023-10-24 09:30:24,4226,social,professionals,awareness,626412,60196,0,2696,2023-08-13 04:26:23,2023-10-24 09:30:24
40,Organized real-time middleware,2023-08-30 15:33:34,2023-12-03 09:36:05,1164,email,students,awareness,423862,31445,0,3525,2023-08-30 15:33:34,2023-12-03 09:36:05
41,Open-source value-added function,2023-01-17 01:04:53,2023-11-17 12:16:06,9122,email,educators,conversion,919526,88266,0,11059,2023-01-17 01:04:53,2023-11-17 12:16:06
42,Advanced system-worthy moderator,2022-12-30 01:31:44,2024-01-16 17:31:10,3119,social,students,conversion,928643,79727,0,13978,2022-12-30 01:31:44,2024-01-16 17:31:10
43,Right-sized multimedia functionalities,2023-12-06 17:43:13,2023-11-29 11:12:10,1755,ads,students,conversion,243663,6969,0,0,2023-12-06 17:43:13,2023-11-29 11:12:10
44,Optional value-added initiative,2022-09-19 11:36:48,2023-11-28 13:53:13,2367,ads,students,conversion,284837,28381,0,15765,2022-09-19 11:36:48,2023-11-28 13:53:13
45,Synchronized encompassing approach,2022-08-26 16:25:23,2023-11-19 17:07:01,5852,email,professionals,conversion,650344,33508,0,16336,2022-08-26 16:25:23,2023-11-19 17:07:01
46,Public-key actuating extranet,2023-11-09 18:54:25,2023-12-22 08:24:16,3117,social,professionals,conversion,132529,11036,0,1601,2023-11-09 18:54:25,2023-12-22 08:24:16
47,Monitored radical model,2023-01-26 14:29:04,2023-11-29 16:48:58,6917,ads,educators,awareness,395485,12610,0,11178,2023-01-26 14:29:04,2023-11-29 16:48:58
48,Switchable empowering architecture,2023-04-22 12:14:16,2024-02-05 02:13:11,2524,ads,educators,awareness,816222,67706,0,10577,2023-04-22 12:14:16,2024-02-05 02:13:11
49,Innovative radical structure,2022-08-18 21:01:20,2023-12-22 08:53:08,1319,ads,students,awareness,789152,41159,0,17864,2022-08-18 21:01:20,2023-12-22 08:53:08
50,Decentralized contextually-based customer loyalty,2023-04-22 07:15:30,2024-02-10 16:44:32,1854,ads,students,awareness,628686,56218,0,10748,2023-04-22 07:15:30,2024-02-10 16:44:32
