completion_id;user_id;course_id;completion_date;score;time_to_complete_days
378;603;250;2022-06-06 23:35:56;96;41
2338;53;373;2022-06-07 00:12:10;58;46
3766;606;399;2022-06-07 06:13:56;69;55
3408;795;544;2022-06-07 06:44:09;90;24
2580;261;123;2022-06-07 07:06:38;68;31
2790;300;683;2022-06-07 09:12:03;55;34
5276;117;220;2022-06-07 10:54:21;61;1
2340;584;755;2022-06-07 10:56:58;76;57
3606;916;220;2022-06-07 11:21:07;54;5
5747;166;524;2022-06-07 11:45:42;88;8
2339;92;826;2022-06-07 12:24:07;67;46
2001;684;14;2022-06-07 13:41:53;67;39
2871;996;189;2022-06-07 16:30:27;68;7
4867;553;396;2022-06-07 17:43:18;85;14
6079;177;286;2022-06-07 21:05:49;82;41
5064;343;267;2022-06-08 00:52:16;90;11
4068;63;736;2022-06-08 03:45:37;96;7
1300;102;298;2022-06-08 06:45:14;74;58
850;788;674;2022-06-08 08:26:59;99;22
5429;757;158;2022-06-08 10:11:14;98;53
7748;413;565;2022-06-08 10:50:54;63;19
4791;933;533;2022-06-08 12:30:28;95;30
7843;486;190;2022-06-08 13:11:00;52;12
1892;452;828;2022-06-08 13:11:45;55;4
1488;118;600;2022-06-08 14:25:17;51;53
2842;683;837;2022-06-08 15:59:00;97;4
7806;611;713;2022-06-08 18:55:21;85;5
3573;218;139;2022-06-08 19:04:37;97;40
5430;418;111;2022-06-08 19:49:31;68;41
2493;413;154;2022-06-08 21:08:14;59;8
4660;825;420;2022-06-08 23:23:23;73;10
1402;155;827;2022-06-09 03:05:19;76;40
2549;382;229;2022-06-09 03:36:20;67;42
560;703;555;2022-06-09 04:12:19;84;45
1843;424;93;2022-06-09 05:10:30;96;28
7307;441;501;2022-06-09 05:12:45;72;50
1463;428;495;2022-06-09 07:20:45;73;28
2420;44;547;2022-06-09 10:01:43;57;33
7797;150;534;2022-06-09 13:10:13;58;2
3999;200;169;2022-06-09 18:01:35;58;32
3576;191;392;2022-06-09 18:03:14;77;34
3444;677;733;2022-06-09 18:10:54;99;37
4591;522;548;2022-06-09 18:55:54;60;37
4194;544;532;2022-06-09 19:09:58;56;24
7947;511;351;2022-06-09 20:22:54;52;15
1026;551;380;2022-06-09 22:12:08;79;46
992;662;381;2022-06-09 22:28:05;89;48
4500;293;162;2022-06-10 02:17:02;80;23
38;737;402;2022-06-10 03:36:12;96;27
1623;935;485;2022-06-10 08:14:42;89;28
1085;820;354;2022-06-10 09:32:39;67;9
1320;211;18;2022-06-10 10:24:44;52;46
5827;219;414;2022-06-10 12:10:05;88;25
5574;99;284;2022-06-10 12:38:51;91;8
4002;334;799;2022-06-10 13:03:17;64;32
2503;700;370;2022-06-10 13:31:29;90;9
1304;799;394;2022-06-10 15:04:01;81;49
7584;412;771;2022-06-10 15:32:56;66;15
4145;978;449;2022-06-10 15:47:21;72;32
6035;728;694;2022-06-10 16:22:50;63;20
1381;585;134;2022-06-10 17:07:02;75;35
6169;326;322;2022-06-10 19:44:16;72;50
6000;612;753;2022-06-10 20:52:22;75;13
3;36;763;2022-06-11 00:38:44;57;52
4054;194;687;2022-06-11 05:42:41;91;1
4971;228;830;2022-06-11 08:40:35;57;23
3585;824;737;2022-06-11 10:46:04;84;41
497;478;522;2022-06-11 13:30:45;86;8
4072;595;177;2022-06-11 14:22:04;67;48
65;267;475;2022-06-11 15:04:33;62;49
2456;45;322;2022-06-11 16:15:11;81;40
2742;711;512;2022-06-11 18:11:22;67;6
693;32;338;2022-06-11 18:18:55;83;31
5468;915;720;2022-06-12 00:05:09;69;18
1355;798;494;2022-06-12 02:52:17;80;31
2037;137;616;2022-06-12 03:17:34;94;24
4142;426;869;2022-06-12 06:32:46;95;29
5854;294;152;2022-06-12 08:57:50;62;35
2149;822;471;2022-06-12 10:22:47;58;12
2154;524;371;2022-06-12 11:30:36;66;46
7965;324;658;2022-06-12 11:44:24;74;47
5693;268;472;2022-06-12 12:50:19;59;44
574;642;322;2022-06-12 15:59:15;97;53
7059;973;790;2022-06-12 18:02:06;57;13
7027;188;39;2022-06-12 19:48:39;82;45
164;947;31;2022-06-12 20:08:07;74;43
5162;757;318;2022-06-12 20:24:14;71;11
6869;286;458;2022-06-12 21:31:49;87;2
6670;375;97;2022-06-12 22:04:35;93;58
1243;780;352;2022-06-12 22:40:27;76;11
4602;552;43;2022-06-13 01:39:58;74;3
2643;71;517;2022-06-13 06:11:43;51;35
6026;527;402;2022-06-13 07:01:36;58;24
2472;580;419;2022-06-13 08:36:43;50;49
6923;160;690;2022-06-13 09:22:16;88;8
7250;507;388;2022-06-13 09:36:10;81;48
7155;553;788;2022-06-13 13:11:39;69;58
1829;464;705;2022-06-13 14:02:58;79;38
2674;20;839;2022-06-13 15:25:38;72;18
4548;208;880;2022-06-13 16:00:51;91;37
1361;207;835;2022-06-13 16:11:33;73;44
289;112;182;2022-06-13 19:24:59;75;59
3478;573;782;2022-06-13 21:51:43;87;14
2159;3;263;2022-06-13 22:03:09;54;15
337;299;452;2022-06-14 01:02:25;60;7
1811;999;777;2022-06-14 02:53:51;56;13
7310;92;842;2022-06-14 05:15:36;78;22
7300;760;859;2022-06-14 05:16:11;90;4
1190;537;631;2022-06-14 07:45:57;82;9
4641;171;230;2022-06-14 09:38:07;50;21
5121;220;124;2022-06-14 11:50:54;51;14
5762;803;628;2022-06-14 11:55:09;99;57
7626;931;399;2022-06-14 12:27:10;83;54
139;252;335;2022-06-14 14:24:27;77;29
4335;881;197;2022-06-14 15:19:43;88;6
4073;188;557;2022-06-14 16:04:03;97;37
5177;15;866;2022-06-14 16:12:27;90;54
671;185;57;2022-06-14 17:28:36;84;13
1114;304;635;2022-06-14 21:04:08;75;9
1990;743;419;2022-06-14 22:06:04;53;19
1804;990;197;2022-06-14 23:06:24;85;13
2411;158;757;2022-06-14 23:23:34;88;26
4099;970;594;2022-06-15 00:57:29;68;16
5627;62;53;2022-06-15 03:15:27;66;43
2178;420;857;2022-06-15 06:37:12;86;58
3882;310;171;2022-06-15 06:50:27;91;45
3253;85;27;2022-06-15 06:55:27;96;19
6468;696;585;2022-06-15 09:15:48;79;25
5745;381;676;2022-06-15 09:42:45;55;51
3723;98;252;2022-06-15 13:16:07;58;43
1513;383;2;2022-06-15 13:54:01;50;58
4779;728;148;2022-06-15 15:30:12;62;13
2769;118;769;2022-06-15 20:32:01;89;9
3538;389;467;2022-06-15 20:36:44;51;22
7371;616;236;2022-06-15 20:48:36;57;30
2905;472;875;2022-06-16 00:31:24;51;53
7419;656;19;2022-06-16 04:16:56;62;34
6074;639;500;2022-06-16 06:39:46;89;40
4450;783;205;2022-06-16 07:06:19;84;36
6386;303;787;2022-06-16 07:40:24;92;3
536;359;761;2022-06-16 07:49:05;88;58
4565;158;42;2022-06-16 08:16:09;62;35
4752;454;506;2022-06-16 10:09:22;88;13
2015;353;522;2022-06-16 10:43:24;69;57
4527;481;798;2022-06-16 13:56:47;94;39
6471;945;378;2022-06-16 18:09:12;58;57
5874;90;591;2022-06-16 20:18:47;99;49
2962;741;369;2022-06-16 22:02:28;91;12
6606;380;722;2022-06-16 23:29:01;95;29
1040;989;441;2022-06-16 23:39:48;73;4
7714;693;882;2022-06-17 00:08:46;77;52
1271;785;74;2022-06-17 01:59:44;96;38
1315;334;806;2022-06-17 02:06:21;69;5
1746;570;75;2022-06-17 02:19:08;65;59
1224;756;121;2022-06-17 06:02:55;53;5
2258;376;476;2022-06-17 07:33:33;82;33
5337;802;580;2022-06-17 11:24:39;74;58
5706;85;324;2022-06-17 15:25:28;67;39
5901;793;71;2022-06-17 18:14:39;93;26
7648;401;427;2022-06-17 18:15:53;71;24
6929;606;688;2022-06-18 04:32:58;68;8
3009;59;175;2022-06-18 05:05:11;93;24
6093;21;413;2022-06-18 10:27:03;86;15
7075;273;60;2022-06-18 11:16:24;51;55
6145;209;31;2022-06-18 15:26:56;71;23
455;956;643;2022-06-18 17:03:13;91;16
4021;99;749;2022-06-18 17:49:59;99;28
2570;457;201;2022-06-18 21:19:43;61;21
6298;6;247;2022-06-18 22:44:07;71;39
247;676;786;2022-06-19 01:37:44;98;3
4147;9;460;2022-06-19 03:31:52;77;48
3405;104;404;2022-06-19 04:21:56;85;15
7378;840;637;2022-06-19 07:56:45;51;8
5472;690;323;2022-06-19 08:59:39;52;17
6577;854;715;2022-06-19 11:15:53;70;58
3630;413;301;2022-06-19 14:49:12;92;15
3323;199;304;2022-06-19 16:00:40;70;39
6387;501;206;2022-06-19 16:26:16;95;30
6948;429;435;2022-06-19 16:31:10;59;38
1001;913;98;2022-06-19 20:04:17;94;32
2008;250;652;2022-06-19 21:01:18;96;19
3110;317;298;2022-06-19 22:57:59;79;7
3156;786;307;2022-06-20 00:03:57;67;27
7125;131;676;2022-06-20 00:06:12;96;16
5438;680;676;2022-06-20 01:28:22;86;36
6655;954;536;2022-06-20 03:15:09;53;49
4386;574;29;2022-06-20 03:53:23;90;24
3358;903;856;2022-06-20 04:56:12;61;24
3964;689;681;2022-06-20 07:35:49;75;18
6682;143;304;2022-06-20 08:11:22;68;36
4412;577;317;2022-06-20 10:34:19;72;34
2265;880;688;2022-06-20 14:39:38;89;41
3730;752;309;2022-06-20 15:01:31;99;27
1325;872;636;2022-06-20 18:08:27;96;26
7080;39;201;2022-06-20 19:21:25;76;53
3542;435;544;2022-06-21 00:24:05;54;44
3506;765;265;2022-06-21 00:36:30;52;1
5168;450;133;2022-06-21 01:05:43;91;42
3513;377;69;2022-06-21 04:32:18;55;13
7822;729;732;2022-06-21 05:51:43;88;18
64;913;583;2022-06-21 08:11:36;75;58
4994;212;266;2022-06-21 11:39:51;52;29
1216;681;483;2022-06-21 11:52:28;62;42
3720;90;243;2022-06-21 12:14:46;53;19
545;257;49;2022-06-21 12:39:35;53;56
3021;216;280;2022-06-21 13:08:48;68;17
1608;463;553;2022-06-21 13:38:44;58;40
93;383;616;2022-06-21 18:44:08;85;55
4853;982;499;2022-06-21 18:47:25;79;45
3846;447;262;2022-06-21 20:30:40;68;18
7109;288;675;2022-06-21 21:03:02;75;39
5109;146;872;2022-06-21 21:32:27;52;37
4089;40;848;2022-06-22 01:59:24;53;13
352;208;104;2022-06-22 02:05:50;59;22
7868;338;769;2022-06-22 03:38:22;67;17
3905;245;167;2022-06-22 08:03:03;97;50
5833;786;843;2022-06-22 08:35:12;92;27
2756;930;754;2022-06-22 09:13:50;75;35
1761;653;30;2022-06-22 09:59:14;77;22
1920;544;63;2022-06-22 10:57:37;52;46
6312;368;109;2022-06-22 12:04:21;83;56
1089;710;295;2022-06-22 13:12:49;75;45
6134;814;180;2022-06-22 14:04:30;56;54
2163;545;836;2022-06-22 16:34:17;93;39
5967;39;88;2022-06-22 17:53:47;77;55
1633;492;113;2022-06-22 20:51:25;55;33
696;98;255;2022-06-22 22:02:28;72;49
4551;710;313;2022-06-23 00:51:27;70;42
4819;366;292;2022-06-23 01:47:28;92;43
644;712;609;2022-06-23 04:48:15;93;58
7863;936;582;2022-06-23 07:41:53;94;38
7913;884;776;2022-06-23 09:23:51;65;43
3502;45;178;2022-06-23 09:46:34;78;43
3569;135;569;2022-06-23 13:44:56;84;6
2836;318;18;2022-06-23 14:31:44;71;29
393;462;314;2022-06-23 17:11:12;97;35
5081;262;469;2022-06-23 19:37:32;93;36
7794;986;66;2022-06-23 22:30:03;80;21
2283;438;817;2022-06-23 23:30:07;58;30
2847;186;543;2022-06-24 01:01:25;80;30
6403;476;688;2022-06-24 03:24:54;99;3
2449;222;783;2022-06-24 04:58:44;97;5
6431;708;383;2022-06-24 08:40:04;53;35
3473;641;323;2022-06-24 09:38:37;69;50
4593;197;549;2022-06-24 11:04:29;76;17
3034;474;554;2022-06-24 19:16:46;97;16
5929;292;516;2022-06-24 23:00:58;68;40
7122;115;294;2022-06-25 01:42:12;67;38
7457;319;687;2022-06-25 04:45:37;50;33
5076;121;102;2022-06-25 05:55:43;85;33
1407;758;190;2022-06-25 12:49:04;76;6
5925;29;91;2022-06-25 15:16:18;68;15
6388;174;381;2022-06-25 18:40:40;72;27
6235;854;144;2022-06-25 19:58:34;76;36
7096;208;425;2022-06-25 21:00:50;92;7
464;502;637;2022-06-25 21:08:04;92;37
2733;203;200;2022-06-25 22:18:51;60;39
1191;152;18;2022-06-25 22:33:48;97;40
6966;635;622;2022-06-25 23:20:03;82;29
7571;780;10;2022-06-25 23:54:46;76;8
2396;578;285;2022-06-26 03:25:43;87;34
5072;234;656;2022-06-26 04:17:52;82;56
5062;444;133;2022-06-26 04:35:36;89;43
4871;555;620;2022-06-26 04:38:41;64;26
3868;318;342;2022-06-26 06:27:14;62;30
5995;40;839;2022-06-26 10:29:00;90;43
4324;113;821;2022-06-26 11:13:19;81;17
424;795;124;2022-06-26 11:36:21;64;46
4511;26;464;2022-06-26 11:47:28;90;6
6301;621;732;2022-06-26 16:07:21;61;54
3038;23;413;2022-06-26 16:09:34;54;21
6772;917;482;2022-06-26 17:16:32;57;50
60;212;207;2022-06-26 18:43:39;62;48
1723;930;823;2022-06-26 20:49:57;98;35
4783;411;577;2022-06-26 22:18:34;79;36
7618;950;504;2022-06-26 23:55:02;81;50
6615;320;530;2022-06-27 01:01:37;71;43
1242;428;813;2022-06-27 03:59:56;85;37
4906;997;805;2022-06-27 05:41:02;73;47
1535;659;226;2022-06-27 05:54:54;91;51
5676;850;879;2022-06-27 07:49:30;79;36
4375;708;116;2022-06-27 09:52:02;62;42
571;279;325;2022-06-27 10:51:39;90;43
258;784;773;2022-06-27 11:57:59;91;20
1511;957;630;2022-06-27 14:54:06;85;42
3645;182;416;2022-06-27 16:24:00;76;17
76;237;364;2022-06-27 17:28:13;85;31
3403;943;649;2022-06-27 18:14:42;69;39
4525;36;293;2022-06-27 18:51:13;91;2
5023;491;137;2022-06-27 19:01:20;53;9
4497;422;514;2022-06-27 19:57:50;63;43
6612;729;531;2022-06-27 20:01:31;86;36
717;459;520;2022-06-27 22:28:59;80;43
2287;779;437;2022-06-27 22:48:27;74;3
7422;847;742;2022-06-28 03:13:21;77;29
7578;65;17;2022-06-28 05:39:44;71;55
1509;82;699;2022-06-28 12:52:59;56;41
4453;581;152;2022-06-28 18:02:56;90;30
5134;479;883;2022-06-28 20:14:33;90;22
3351;126;273;2022-06-28 21:28:18;97;46
4483;712;126;2022-06-28 21:42:09;52;57
1615;799;274;2022-06-28 22:43:31;66;18
1138;783;574;2022-06-29 01:00:03;74;15
1886;276;571;2022-06-29 01:26:03;79;7
2322;193;679;2022-06-29 03:58:53;90;24
4940;581;161;2022-06-29 04:34:42;65;33
2227;144;861;2022-06-29 06:12:31;60;20
6226;426;726;2022-06-29 09:55:55;98;58
1425;678;598;2022-06-29 12:38:53;83;51
2621;476;19;2022-06-29 13:26:59;83;37
6813;656;606;2022-06-29 16:10:14;81;9
6317;17;684;2022-06-29 18:12:23;91;45
3786;27;353;2022-06-29 18:26:59;56;59
3800;731;132;2022-06-30 00:18:22;72;56
1016;88;206;2022-06-30 01:11:00;78;13
6578;89;236;2022-06-30 03:27:02;57;38
3856;385;553;2022-06-30 06:09:00;98;47
4041;299;137;2022-06-30 07:50:36;78;37
1032;834;461;2022-06-30 08:54:22;83;12
6846;464;175;2022-06-30 09:30:49;78;36
4082;401;714;2022-06-30 16:07:52;55;31
290;280;248;2022-06-30 16:57:04;57;10
2552;698;105;2022-06-30 18:47:38;70;57
1779;957;705;2022-06-30 19:36:09;92;51
285;492;724;2022-07-01 00:15:23;61;30
1787;957;246;2022-07-01 01:17:06;60;29
4008;283;775;2022-07-01 04:48:15;91;32
4879;913;56;2022-07-01 08:34:02;93;1
2439;796;873;2022-07-01 10:06:02;99;10
423;372;790;2022-07-01 11:18:31;52;51
2440;855;822;2022-07-01 11:40:21;61;1
607;834;465;2022-07-01 15:55:48;71;42
5842;662;50;2022-07-01 15:58:32;78;18
4346;964;417;2022-07-01 21:56:58;83;51
3511;10;256;2022-07-02 01:32:00;59;29
3035;850;513;2022-07-02 04:51:03;79;9
5754;147;144;2022-07-02 07:50:02;83;22
2894;952;615;2022-07-02 08:05:53;59;8
5353;838;237;2022-07-02 09:36:06;60;37
6831;558;61;2022-07-02 10:20:04;77;57
2603;651;861;2022-07-02 10:22:44;64;28
7740;346;802;2022-07-02 14:37:40;88;9
7278;677;123;2022-07-02 19:28:35;75;17
3666;651;879;2022-07-02 20:18:37;70;29
6375;697;470;2022-07-02 22:22:18;77;25
1960;941;887;2022-07-02 23:34:19;76;5
1864;15;197;2022-07-03 05:36:21;56;35
3246;65;251;2022-07-03 06:27:44;67;50
4093;337;720;2022-07-03 08:10:24;94;39
3161;132;114;2022-07-03 09:41:22;90;25
7441;641;94;2022-07-03 11:10:03;61;8
4435;10;115;2022-07-03 12:15:51;53;1
5308;59;627;2022-07-03 14:25:53;80;26
4656;447;627;2022-07-03 16:21:59;81;57
6522;387;467;2022-07-03 23:41:53;98;38
5768;383;117;2022-07-04 01:19:34;92;55
5674;859;208;2022-07-04 02:54:46;85;5
3602;804;413;2022-07-04 03:26:21;58;12
4043;732;669;2022-07-04 03:58:42;74;46
180;678;761;2022-07-04 04:08:26;61;13
4889;125;200;2022-07-04 04:44:47;92;1
7136;417;223;2022-07-04 05:13:07;91;34
5969;966;281;2022-07-04 08:28:25;85;6
3537;353;149;2022-07-04 08:44:35;73;6
4242;808;172;2022-07-04 09:36:21;84;6
4729;853;732;2022-07-04 10:47:46;89;1
3061;660;519;2022-07-04 13:37:24;71;22
3369;697;85;2022-07-04 15:46:59;70;44
4231;667;630;2022-07-04 19:35:45;89;53
3028;702;825;2022-07-04 20:01:04;55;8
4225;42;578;2022-07-04 22:34:36;79;52
3460;162;690;2022-07-04 23:00:54;66;35
3977;316;378;2022-07-05 01:02:36;97;13
3397;49;141;2022-07-05 04:07:00;65;44
471;970;299;2022-07-05 05:37:53;59;57
2690;626;475;2022-07-05 07:27:58;54;56
2747;583;172;2022-07-05 10:22:18;91;12
999;526;183;2022-07-05 12:09:45;60;49
2928;575;492;2022-07-05 17:51:23;63;22
1176;2;234;2022-07-06 00:43:04;77;6
3618;937;886;2022-07-06 01:39:09;72;37
200;906;789;2022-07-06 03:34:34;68;50
70;548;701;2022-07-06 05:21:51;89;29
2327;277;395;2022-07-06 06:40:43;87;17
5539;408;815;2022-07-06 07:04:37;86;18
5350;431;546;2022-07-06 07:13:48;64;29
5597;861;86;2022-07-06 16:21:53;57;48
1439;626;200;2022-07-06 16:40:58;54;13
1596;980;267;2022-07-06 16:53:24;59;41
6791;973;869;2022-07-06 20:13:20;82;55
7685;778;565;2022-07-07 00:02:40;66;28
1264;173;394;2022-07-07 00:38:16;80;21
6944;491;240;2022-07-07 00:53:00;72;37
3133;108;756;2022-07-07 02:03:10;52;28
4348;901;350;2022-07-07 04:39:31;85;13
4651;793;530;2022-07-07 05:08:19;64;34
1494;275;435;2022-07-07 07:22:35;54;7
1093;258;95;2022-07-07 13:17:25;51;13
2608;197;848;2022-07-07 13:43:14;54;31
2949;291;384;2022-07-07 13:53:12;93;29
4888;326;240;2022-07-07 14:17:38;74;30
294;907;765;2022-07-07 15:20:33;80;26
5858;61;379;2022-07-07 18:15:56;98;23
5301;321;836;2022-07-07 21:48:21;81;2
146;250;559;2022-07-08 05:55:52;87;31
7183;968;629;2022-07-08 12:43:57;71;17
363;480;728;2022-07-08 14:30:28;61;5
4404;603;213;2022-07-08 17:26:41;51;11
1205;659;631;2022-07-08 20:19:33;54;12
1472;491;664;2022-07-08 22:46:17;51;49
349;525;597;2022-07-09 03:06:46;63;59
6596;391;232;2022-07-09 05:52:03;90;36
3563;678;215;2022-07-09 06:16:12;62;34
451;90;162;2022-07-09 09:39:59;62;10
279;459;654;2022-07-09 09:56:10;75;55
5503;587;726;2022-07-09 10:37:17;64;57
5670;134;779;2022-07-09 12:21:22;86;23
5773;726;78;2022-07-09 13:12:53;90;35
4962;116;43;2022-07-09 15:41:44;67;1
3968;348;249;2022-07-09 21:11:25;52;24
7600;728;363;2022-07-09 23:41:02;68;34
31;545;809;2022-07-10 00:11:31;83;40
2519;185;838;2022-07-10 01:27:05;87;12
5620;508;775;2022-07-10 02:08:46;67;27
6156;954;20;2022-07-10 04:00:33;59;46
4315;753;548;2022-07-10 05:04:04;74;40
2389;365;641;2022-07-10 06:29:11;56;8
2796;122;231;2022-07-10 07:49:24;72;20
757;12;317;2022-07-10 07:50:22;91;19
595;675;651;2022-07-10 08:31:36;91;33
4192;192;71;2022-07-10 09:43:03;81;57
7452;522;110;2022-07-10 13:50:57;58;24
5054;48;700;2022-07-10 17:22:13;72;10
7911;980;555;2022-07-11 04:41:58;71;54
2544;974;846;2022-07-11 07:37:16;62;40
3652;638;258;2022-07-11 08:14:07;70;48
1903;10;743;2022-07-11 11:40:03;90;49
7270;881;724;2022-07-11 12:27:22;73;3
1725;900;350;2022-07-11 13:29:23;96;45
542;821;153;2022-07-11 15:15:43;84;18
3454;928;42;2022-07-11 19:00:25;96;35
236;936;667;2022-07-11 21:46:18;69;13
1100;883;876;2022-07-11 22:50:59;52;29
6889;965;849;2022-07-11 23:37:35;68;8
1413;669;851;2022-07-12 02:41:09;51;55
4160;697;829;2022-07-12 03:28:57;86;29
2038;702;731;2022-07-12 03:32:39;91;45
5321;428;838;2022-07-12 04:34:46;76;20
6203;531;415;2022-07-12 07:26:34;84;3
2329;370;106;2022-07-12 08:18:25;55;39
713;94;407;2022-07-12 09:20:48;71;39
1079;66;683;2022-07-12 10:25:11;89;25
2336;180;43;2022-07-12 11:44:00;98;41
1244;309;20;2022-07-12 12:24:33;53;26
7534;845;804;2022-07-12 13:07:22;98;24
965;677;348;2022-07-12 16:10:43;57;54
738;184;551;2022-07-12 17:14:50;82;9
6628;395;288;2022-07-12 19:10:18;94;52
547;574;824;2022-07-12 22:30:20;59;21
1943;163;174;2022-07-13 00:44:00;84;54
7332;195;480;2022-07-13 01:18:43;88;3
690;847;681;2022-07-13 01:46:59;80;4
4164;53;486;2022-07-13 03:21:06;74;20
4349;147;246;2022-07-13 03:39:30;78;32
7268;305;656;2022-07-13 03:49:42;73;21
7236;8;417;2022-07-13 04:09:28;92;57
1226;577;678;2022-07-13 06:29:32;70;27
1524;107;288;2022-07-13 08:35:07;51;7
391;931;696;2022-07-13 10:17:47;75;11
1978;739;138;2022-07-13 11:10:58;84;43
3822;425;787;2022-07-13 13:21:24;66;42
982;479;83;2022-07-13 15:20:17;86;30
6369;969;734;2022-07-13 18:24:07;87;36
7881;810;128;2022-07-13 19:24:49;53;52
790;333;250;2022-07-13 21:22:58;62;53
7703;579;32;2022-07-13 22:05:11;84;6
6282;254;300;2022-07-13 23:27:26;88;47
4536;388;32;2022-07-14 00:31:24;66;52
3249;117;21;2022-07-14 04:06:00;97;5
2360;609;81;2022-07-14 04:47:15;83;1
2870;424;254;2022-07-14 06:45:34;60;28
3983;903;479;2022-07-14 09:41:56;60;24
281;38;271;2022-07-14 11:30:08;98;16
3062;201;519;2022-07-14 13:57:14;90;27
6031;795;259;2022-07-14 14:52:31;75;12
6992;775;887;2022-07-14 16:07:27;90;37
3695;709;793;2022-07-14 16:42:27;79;38
5119;810;424;2022-07-14 18:28:27;54;31
5058;811;578;2022-07-14 19:00:48;53;11
2918;481;627;2022-07-14 23:04:50;97;18
5453;808;145;2022-07-14 23:38:19;77;3
4205;125;487;2022-07-15 01:16:50;79;24
