interaction_id,user_id,event_type,course_id,timestamp,device_type,location,referral_source,session_duration_seconds,session_id,created_at,updated_at,event_category
63,913,bookmark,256,2023-11-17 20:58:37,tablet,Brazil,2,2595,7b0df12b-6f68-4c70-a9fc-efc76dfb6fcf,2023-11-17 20:58:37,2023-11-17 21:24:10,web
64,643,comment,529,2023-06-26 07:22:10,desktop,Brazil,26,2627,5793c7eb-c958-494e-9362-f215799c8c7b,2023-06-26 07:22:10,2023-06-26 08:18:19,web
65,903,bookmark,551,2024-02-08 20:14:54,mobile,India,11,1503,541e98f8-cc04-4599-84d5-0b2e6a108630,2024-02-08 20:14:54,2024-02-08 20:39:11,web
66,405,comment,210,2023-05-22 23:27:46,desktop,India,23,1142,d17c9bb4-49ea-455c-bb4c-db626c8eb2ba,2023-05-22 23:27:46,2023-05-22 23:39:04,web
67,11,share,718,2023-03-30 11:35:07,desktop,UK,6,2777,e7db36c4-c4c2-4429-bcc0-5476bfa030a6,2023-03-30 11:35:07,2023-03-30 12:06:57,web
68,442,bookmark,694,2022-07-25 16:12:19,tablet,Brazil,37,560,b6c738f3-65c8-44ce-b34f-6ddfcd180e10,2022-07-25 16:12:19,2022-07-25 16:24:08,web
69,358,bookmark,824,2022-06-25 20:14:56,desktop,Germany,27,3552,eca871a9-d714-4bde-8a71-98d402293a1e,2022-06-25 20:14:56,2022-06-25 21:05:02,web
70,603,share,563,2024-01-12 13:55:33,tablet,US,17,2336,368d3952-a468-40f1-8c0d-38580296006b,2024-01-12 13:55:33,2024-01-12 14:13:09,web
71,720,share,848,2022-09-07 11:22:42,tablet,India,39,1004,396447a9-a0c0-46a9-ab97-ae86b813f46c,2022-09-07 11:22:42,2022-09-07 12:22:04,web
72,637,share,402,2022-12-12 01:44:38,tablet,Germany,organic,3235,87cebd83-bd15-4d86-923b-47bb46f8898c,2022-12-12 01:44:38,2022-12-12 02:32:21,web
73,826,comment,167,2022-09-16 02:46:18,mobile,UK,4,333,4d6f5ae3-0adc-4da0-b67f-e3fc81714066,2022-09-16 02:46:18,2022-09-16 03:22:51,web
74,696,comment,470,2022-07-27 19:58:14,desktop,UK,8,461,2f174253-620f-42d9-8f6a-11636e7fbaed,2022-07-27 19:58:14,2022-07-27 20:35:51,web
75,85,comment,7,2022-11-02 16:09:18,tablet,US,23,1056,beab1890-cf3c-4d95-aa24-ad298afc391a,2022-11-02 16:09:18,2022-11-02 17:01:11,web
76,108,comment,547,2022-08-20 18:23:48,tablet,US,31,2350,ad0de884-6e95-40bf-912f-a3e0066f8ea3,2022-08-20 18:23:48,2022-08-20 18:52:16,web
77,399,like,161,2023-04-18 12:18:00,tablet,UK,20,1566,42d1ee46-30d3-48d9-b559-6e342e45b01b,2023-04-18 12:18:00,2023-04-18 12:37:15,web
78,223,bookmark,301,2023-06-15 14:56:42,mobile,UK,35,3453,5f706b1f-23a3-40bc-b91e-63800bcacbc0,2023-06-15 14:56:42,2023-06-15 15:16:09,web
79,900,like,408,2023-03-01 22:11:54,mobile,Brazil,22,1300,e8fcc90e-2b50-4a30-bea5-d66bf335b102,2023-03-01 22:11:54,2023-03-01 22:31:29,web
80,52,bookmark,81,2022-10-20 17:40:14,desktop,UK,4,1543,0246b49a-88ab-4848-8aab-83dfceaad143,2022-10-20 17:40:14,2022-10-20 18:32:56,web
81,607,comment,516,2022-10-31 23:57:01,desktop,Brazil,46,2802,837b9514-279f-4f44-b9f4-dabaef5ec01b,2022-10-31 23:57:01,2022-11-01 00:22:16,web
82,503,bookmark,531,2023-11-10 17:45:05,desktop,UK,17,267,073739d3-03b7-415f-9717-095e4e4bfd13,2023-11-10 17:45:05,2023-11-10 17:54:12,web
83,195,like,882,2022-09-07 15:01:40,tablet,India,41,2445,1a7b0b10-212d-4014-b619-bbdb634e38a9,2022-09-07 15:01:40,2022-09-07 15:09:39,web
84,286,share,717,2022-11-29 17:42:30,desktop,India,38,2140,7c9e3d4b-4123-4bb5-8c6f-6e4b07eb3785,2022-11-29 17:42:30,2022-11-29 18:21:32,web
85,140,like,726,2023-05-28 21:55:48,tablet,Germany,18,467,0bfab496-6dc4-4109-af23-8eca218d435d,2023-05-28 21:55:48,2023-05-28 22:28:11,web
86,74,like,749,2023-11-17 20:53:21,tablet,US,17,839,9f9a87e6-74d9-4163-b243-22e6da0e2735,2023-11-17 20:53:21,2023-11-17 21:12:41,web
87,402,share,324,2023-01-04 02:28:19,tablet,US,19,2613,19dcc9b6-b67d-4583-a3b1-548b9db8d3b4,2023-01-04 02:28:19,2023-01-04 03:14:48,web
88,326,bookmark,66,2023-11-02 05:39:36,mobile,US,18,178,60bc26e0-8847-4e82-b41b-fc7cbf6d5ed9,2023-11-02 05:39:36,2023-11-02 06:35:02,web
89,440,bookmark,299,2024-01-31 15:55:13,tablet,Germany,42,1968,2f479ae6-e20a-4772-a830-8b6f1e887827,2024-01-31 15:55:13,2024-01-31 15:58:35,web
90,83,comment,750,2023-11-03 21:55:46,tablet,Germany,23,1926,e8ae6d63-d171-45c5-b197-e39ed4766a43,2023-11-03 21:55:46,2023-11-03 21:59:59,web
91,726,comment,365,2023-11-24 13:24:53,desktop,US,25,1423,67e2a793-b328-4563-bc95-1f83252d1468,2023-11-24 13:24:53,2023-11-24 13:50:53,web
92,662,like,429,2023-07-18 09:43:12,mobile,US,8,2344,7b9d8a7a-01e5-419a-a9e9-36646fce15d7,2023-07-18 09:43:12,2023-07-18 10:36:52,web
93,19,share,318,2023-09-26 12:38:54,tablet,Brazil,16,666,420e190a-7d55-4ad7-a5f0-774687ae73fa,2023-09-26 12:38:54,2023-09-26 13:22:42,web
94,124,comment,146,2022-12-12 02:33:55,tablet,Germany,3,2798,2db2d27c-88fe-4c51-90a6-a391b7ba6003,2022-12-12 02:33:55,2022-12-12 03:28:51,web
95,475,comment,720,2023-09-26 19:18:24,tablet,India,10,3472,1660c3cc-f478-4918-9ddb-661f45dc2188,2023-09-26 19:18:24,2023-09-26 19:57:28,web
96,886,comment,39,2023-05-09 21:19:52,mobile,UK,27,2487,dc27729b-8b1d-484d-a1d8-f9d8e5b0ff8e,2023-05-09 21:19:52,2023-05-09 21:53:50,web
97,771,bookmark,794,2022-07-18 21:20:40,desktop,US,2,929,bbf21561-17d7-423b-8b64-f235fb02236e,2022-07-18 21:20:40,2022-07-18 21:21:46,web
98,379,like,78,2023-08-26 19:50:56,tablet,UK,5,2108,d1cf099b-2253-404d-a3eb-39f374a4bdc9,2023-08-26 19:50:56,2023-08-26 19:52:54,web
99,641,comment,674,2023-10-01 09:34:05,mobile,Germany,22,413,38abca7d-20d8-4fd9-a4f8-09a0a216965c,2023-10-01 09:34:05,2023-10-01 09:51:31,web
100,710,share,129,2023-07-10 00:59:19,tablet,US,38,2155,474b5913-29b5-4fd9-9e90-28a415bc7c01,2023-07-10 00:59:19,2023-07-10 01:28:05,web
101,728,like,743,2023-09-09 21:46:52,desktop,Brazil,organic,2578,55d57c2b-43ff-48c9-9d3e-caba61f02298,2023-09-09 21:46:52,2023-09-09 22:21:45,web
102,624,like,573,2022-12-24 09:43:06,mobile,UK,2,2046,3344fac1-59ba-48e8-ac8a-d2f4c1e650cc,2022-12-24 09:43:06,2022-12-24 10:14:42,web
103,716,bookmark,71,2023-11-06 17:53:43,desktop,India,34,768,6e1bb1eb-1084-4b37-8851-2c15cd5d2f27,2023-11-06 17:53:43,2023-11-06 18:36:34,web
104,683,comment,331,2023-06-29 04:54:31,mobile,US,organic,1638,4d7f6f0e-b9be-483c-8674-4121fde4e4ef,2023-06-29 04:54:31,2023-06-29 05:49:26,web
105,940,like,700,2022-07-14 21:29:17,desktop,Brazil,18,1895,5ef5e6a1-48c9-4ed8-8f96-f0debb2268b6,2022-07-14 21:29:17,2022-07-14 21:32:26,web
106,206,share,589,2022-08-30 12:13:55,desktop,US,49,865,a2af1d96-d71f-40f0-ba8e-60f48f2d8f49,2022-08-30 12:13:55,2022-08-30 12:42:24,web
107,521,share,514,2023-05-13 19:05:48,desktop,US,26,2747,31403c85-9f39-46e8-9da8-90f34d44beb8,2023-05-13 19:05:48,2023-05-13 19:15:54,web
108,801,like,46,2023-02-04 18:22:39,desktop,US,6,136,eb47caa9-6846-4a4c-8f5f-1f8e8f735937,2023-02-04 18:22:39,2023-02-04 18:41:32,web
109,218,like,85,2023-07-19 14:05:32,tablet,Brazil,14,2077,b2a2969b-4149-4c10-8980-e59712dd4f8e,2023-07-19 14:05:32,2023-07-19 14:22:59,web
110,196,bookmark,771,2024-01-15 01:03:50,tablet,UK,17,1459,7b18db47-2d00-4892-955d-f3bb5149d003,2024-01-15 01:03:50,2024-01-15 01:32:14,web
111,809,share,655,2022-08-15 05:38:26,tablet,Germany,18,1394,5e5d8bf6-5c7b-475f-bba6-0d4b2a7c29cb,2022-08-15 05:38:26,2022-08-15 05:59:32,web
112,682,like,177,2023-03-07 06:24:11,desktop,Germany,34,1711,65bb3598-6c25-48e9-b57c-ca5b801181c7,2023-03-07 06:24:11,2023-03-07 06:48:38,web
113,733,share,305,2023-09-18 23:26:52,tablet,Brazil,19,3199,bcf2700c-f1f4-4b1e-8791-768ec2583431,2023-09-18 23:26:52,2023-09-18 23:35:23,web
114,699,bookmark,292,2023-12-15 19:33:07,desktop,Germany,organic,1669,70b90545-fa17-43f5-b446-a86ba2315a67,2023-12-15 19:33:07,2023-12-15 19:34:05,web
115,490,like,714,2022-08-19 18:31:26,tablet,Germany,40,3572,d40e6c17-1530-4e86-8403-ce31d898166f,2022-08-19 18:31:26,2022-08-19 18:46:49,web
116,774,bookmark,240,2022-06-08 07:38:03,desktop,UK,5,2394,6b187f4e-0a0f-41d8-9c36-dfefa8633de4,2022-06-08 07:38:03,2022-06-08 08:00:31,web
117,958,bookmark,776,2023-04-19 16:45:43,desktop,Germany,41,2199,8291a033-a3a2-475d-a7f8-36cbb84d1738,2023-04-19 16:45:43,2023-04-19 16:48:24,web
118,906,comment,889,2023-10-05 12:29:23,desktop,Brazil,23,2301,ac219f04-4056-4c2a-9339-636a598fcc45,2023-10-05 12:29:23,2023-10-05 12:33:20,web
119,278,bookmark,723,2023-11-04 06:13:54,desktop,Brazil,36,3216,6ba26f79-768e-41ac-9e51-b8cc100e0f38,2023-11-04 06:13:54,2023-11-04 06:24:21,web
120,643,bookmark,122,2022-11-29 09:56:06,mobile,Germany,36,3384,b49c95bb-7a8d-4502-abbb-8691c7b14d33,2022-11-29 09:56:06,2022-11-29 10:50:22,web
121,542,bookmark,665,2023-01-19 02:08:29,mobile,US,48,3023,0339bacd-8785-453b-8944-d766aa9a417b,2023-01-19 02:08:29,2023-01-19 02:50:56,web
122,536,bookmark,693,2024-01-01 19:01:41,tablet,Brazil,13,300,81ab0533-7f40-4090-bbc0-84ccd7c766e4,2024-01-01 19:01:41,2024-01-01 19:44:53,web
123,208,share,569,2022-06-13 12:07:43,desktop,Brazil,4,2988,95e483fe-a184-4eb0-a89f-f01aad354633,2022-06-13 12:07:43,2022-06-13 12:48:09,web
124,465,like,787,2023-02-21 18:05:43,desktop,US,23,2787,d764fbb0-6aef-4ea4-a67d-43528dd55c91,2023-02-21 18:05:43,2023-02-21 18:43:02,web
125,118,comment,128,2023-10-15 12:48:26,mobile,UK,44,196,a4f790b9-bec7-441b-a48c-95c9d4cbf75c,2023-10-15 12:48:26,2023-10-15 12:52:23,web
126,409,share,95,2023-07-22 21:15:58,desktop,Germany,45,1847,667a4c74-4026-44db-abc6-3dd72832556b,2023-07-22 21:15:58,2023-07-22 21:28:06,web
127,150,comment,4,2023-03-27 19:03:45,tablet,US,44,508,875834e0-d3bf-4efe-b49a-0e5c3d707e6e,2023-03-27 19:03:45,2023-03-27 19:33:49,web
128,211,like,495,2022-07-18 18:08:00,desktop,US,22,70,9e6b38d1-5e68-49cc-adf2-bcad02797734,2022-07-18 18:08:00,2022-07-18 18:43:38,web
129,827,bookmark,422,2022-07-21 00:38:59,desktop,Brazil,16,783,e5ea17ce-c698-4f17-9a57-3286b55f25aa,2022-07-21 00:38:59,2022-07-21 01:22:14,web
130,247,like,418,2022-11-20 08:08:22,desktop,Germany,45,2670,d77aa040-9c92-4248-b0f7-d5471b22467f,2022-11-20 08:08:22,2022-11-20 09:02:35,web
131,818,share,360,2022-07-01 17:55:23,desktop,US,14,2711,36ef9335-2eff-4641-958c-c64c3c4c4b04,2022-07-01 17:55:23,2022-07-01 18:31:29,web
132,503,bookmark,466,2023-10-31 19:52:06,mobile,UK,39,1214,22edb6c2-d9af-4ad1-a479-8cd105fc64ad,2023-10-31 19:52:06,2023-10-31 20:49:12,web
133,295,like,277,2022-07-02 03:44:28,mobile,Brazil,29,288,3173eeb8-3a05-47d0-a939-51331db176b3,2022-07-02 03:44:28,2022-07-02 03:54:02,web
134,902,share,595,2023-04-08 23:34:23,mobile,India,46,3372,3eed5477-e67d-48f0-8f9b-f0a62d26601e,2023-04-08 23:34:23,2023-04-08 23:45:33,web
135,825,share,789,2022-11-19 15:39:15,tablet,Brazil,12,2735,af58179f-bf7d-4295-93fd-6a6ac6b81220,2022-11-19 15:39:15,2022-11-19 15:59:24,web
136,192,bookmark,120,2023-06-01 05:07:25,desktop,UK,38,1162,d1c8e4e4-a6a8-4922-957d-c15399a07f7c,2023-06-01 05:07:25,2023-06-01 05:50:40,web
137,680,share,423,2022-10-26 01:05:33,desktop,US,23,2994,f6c1b3f7-c4a8-4060-800e-dfce6e9b3bc8,2022-10-26 01:05:33,2022-10-26 01:34:41,web
138,921,like,590,2023-02-04 04:02:34,mobile,Brazil,27,1310,1e08bff7-5e13-4998-b3bb-a4af82441e49,2023-02-04 04:02:34,2023-02-04 04:09:18,web
139,451,bookmark,177,2023-01-03 16:51:47,tablet,Brazil,21,1170,1f3fd16f-79d9-47b9-a6ad-6ce9e192b5be,2023-01-03 16:51:47,2023-01-03 17:03:28,web
140,994,share,359,2022-11-03 16:19:18,tablet,UK,25,108,57eb8121-2e1c-4d90-9fa8-56c8df0691d9,2022-11-03 16:19:18,2022-11-03 16:23:20,web
141,13,like,598,2023-09-13 23:46:35,desktop,US,37,947,b03f4b6f-6a82-492f-82ed-511e10c4340c,2023-09-13 23:46:35,2023-09-14 00:14:27,web
142,597,like,710,2023-06-22 10:33:00,tablet,UK,18,649,9426e535-845d-4b09-b13e-32ad028ad5b6,2023-06-22 10:33:00,2023-06-22 10:55:23,web
143,734,like,677,2023-05-05 05:15:58,desktop,Germany,organic,2130,a990b6b9-d8d4-46ba-9f01-081ec823904d,2023-05-05 05:15:58,2023-05-05 05:44:06,web
144,523,share,562,2022-06-13 02:49:44,tablet,US,37,966,696ab308-0bba-43f6-9908-7e837e82c463,2022-06-13 02:49:44,2022-06-13 02:50:11,web
145,748,like,404,2022-12-16 23:09:00,mobile,Germany,4,391,b96b047b-c4a3-4fa8-9de0-c20a8ddce26f,2022-12-16 23:09:00,2022-12-16 23:21:56,web
146,950,like,187,2022-10-09 19:38:24,desktop,US,8,660,f205fd9c-2984-4280-8a26-a7251c98b382,2022-10-09 19:38:24,2022-10-09 20:03:35,web
147,800,like,410,2023-05-07 13:03:36,mobile,India,18,972,acfd4631-d0c5-4242-9feb-b8b80684a8f0,2023-05-07 13:03:36,2023-05-07 13:51:52,web
148,259,like,179,2023-10-28 07:15:20,mobile,Germany,47,3052,d173b46c-71ef-4bdd-b5af-46ee3975bd0b,2023-10-28 07:15:20,2023-10-28 07:25:29,web
149,172,bookmark,307,2023-01-03 18:04:19,mobile,US,46,173,ee419363-dffb-440e-9b8f-c900efafc0f7,2023-01-03 18:04:19,2023-01-03 18:42:29,web
150,857,like,380,2023-12-18 02:39:10,tablet,India,31,711,94e07384-90ed-4025-b2eb-6aaa93ca919f,2023-12-18 02:39:10,2023-12-18 03:19:15,web
151,981,share,261,2023-04-29 23:45:12,desktop,UK,20,3547,9015301f-4429-41a7-bb50-77322027482c,2023-04-29 23:45:12,2023-04-29 23:48:54,web
152,928,bookmark,808,2023-08-05 12:32:28,tablet,India,8,3012,ab48499e-2eea-42d4-a7d0-1b9fb4359722,2023-08-05 12:32:28,2023-08-05 13:12:42,web
153,601,like,329,2022-11-10 22:16:20,tablet,Germany,10,2789,386866fd-2614-4411-a1ec-5711b2c90f13,2022-11-10 22:16:20,2022-11-10 23:14:00,web
154,284,share,764,2022-06-12 01:00:43,tablet,Brazil,19,1200,80416409-e727-4202-befb-89f89ca78af3,2022-06-12 01:00:43,2022-06-12 01:06:10,web
155,991,bookmark,358,2023-01-27 07:24:11,mobile,India,5,179,57a987ee-74bf-4f5c-a6cb-8233b5ce035d,2023-01-27 07:24:11,2023-01-27 08:19:00,web
